"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","DocketUrl"
"ANC17LA022","ACC","95103","2017-04-29T17:00:00Z","Chugiak","Alaska","United States",,"N82563","false","Aviation","DirectorBrief","2021-02-02T05:00:00Z","None","0","0","0","A fracture and collapse of the main landing gear. Contributing to the accident was corrosion to the hydrasorb lug fitting.","Aircraft - Aircraft systems - Landing gear system - Main gear strut/axle/truck - Fatigue/wear/corrosion, Personnel issues - Task performance - Maintenance - Scheduled/routine maintenance - Maintenance personnel","https://data.ntsb.gov/Docket?ProjectID=95103"
"CEN17FA168","ACC","95076","2017-04-29T00:48:00Z","Amarillo","Texas","United States",,"N933DC","true","Aviation","DirectorBrief","2018-09-04T04:00:00Z","Fatal","3","0","0","The pilot's loss of airplane control due to spatial disorientation during the initial climb after takeoff in night instrument meteorological conditions and moderate turbulence.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Heading/course - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Personnel issues - Psychological - Perception/orientation/illusion - Spatial disorientation - Pilot, Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Not specified, Environmental issues - Conditions/weather/phenomena - Light condition - Dark - Not specified","https://data.ntsb.gov/Docket?ProjectID=95076"
"DCA17WA113","INC","95140","2017-04-20T07:58:00Z","Palma de Mallorca",,"Spain",,"EC-JBK, EC-LCX","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=95140"
"DCA17WA107","INC","95100","2017-04-17T02:59:00Z","New Delhi",,"India",,"VT-IDB","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=95100"
"ENG17WA020","INC","95024","2017-04-15T22:15:00Z","Monteria",,"Colombia",,"HK4820","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=95024"
"DCA17CA101","ACC","95064","2017-04-14T17:00:00Z","Orlando","Florida","United States",,"N373JB","false","Aviation","DirectorBrief","2020-09-22T04:00:00Z","Serious","0","1","0","an inadvertent encounter with convective turbulence, which resulted in a serious injury to a flight attendant.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel","https://data.ntsb.gov/Docket?ProjectID=95064"
"DCA17WA098","INC","95055","2017-04-11T23:24:00Z","Dublin",,"Ireland",,"EI-DAS","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=95055"
"DCA17WA105","ACC","95075","2017-04-08T04:00:00Z","Sibu Warawak",,"Malaysia",,"9M-MXX","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=95075"
"DCA17WA095","INC","95004","2017-04-07T04:00:00Z","Kong Kong",,"China",,"VH-OJU","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=95004"
"DCA17WA084","INC","94935","2017-03-30T04:00:00Z","Changi",,"Singapore",,"A6-EUB, 9V-OJA","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=94935"
"DCA17WA080","ACC","94920","2017-03-27T06:36:00Z","Ardabil",,"Iran",,"EP-TBJ","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=94920"
"GAA17CA200","ACC","94905","2017-03-22T08:35:00Z","Ketchikan","Alaska","United States",,"N264P","false","Aviation","DirectorBrief","2017-06-07T04:00:00Z","None","0","0","0","The floatplane pilot's failure to avoid a buoy during takeoff.","Personnel issues - Psychological - Attention/monitoring - Task monitoring/vigilance - Pilot, Environmental issues - Physical environment - Object/animal/substance - Sign/marker - Effect on operation","https://data.ntsb.gov/Docket?ProjectID=94905"
"ENG17RA040","INC","96238","2017-03-21T04:00:00Z","Guarulhos",,"Brazil",,"PP-PTQ","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96238"
"ENG17IA017","INC","94889","2017-03-19T13:11:00Z","Dayton","Ohio","United States",,"N881GA","false","Aviation","DirectorBrief","2018-04-10T04:00:00Z","None","0","0","0","The probable cause of the No. 2 (right) engine fire was an uncontained generator failure. Deformed rotating generator components and/or metal fragments radially released by the generator severed the constant speed drive-to-oil cooler return line located adjacent to the generator and caused oil to spray onto hot generator and engine case surfaces that subsequently ignited.","Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Accessory drives - Failure","https://data.ntsb.gov/Docket?ProjectID=94889"
"GAA17CA191","ACC","94884","2017-03-11T10:30:00Z","Kalaupapa","Hawaii","United States",,"N865MA","false","Aviation","DirectorBrief","2017-10-17T04:00:00Z","Minor","0","0","2","The pilot's attempted aborted landing late in the landing sequence because she saw another airplane on the runway facing her with its propeller turning, which resulted in a hard landing, a subsequent loss of directional control, and ground loop.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Physical environment - Object/animal/substance - Aircraft - Effect on operation, Aircraft - Aircraft oper/perf/capability - Aircraft capability - Climb capability - Capability exceeded","https://data.ntsb.gov/Docket?ProjectID=94884"
"DCA17CA079","ACC","94878","2017-03-09T21:15:00Z","Dallas-Fort Worth (DFW)","Texas","United States",,"N9615W","false","Aviation","DirectorBrief","2018-03-09T05:00:00Z","Serious","0","1","0","an inadvertent encounter with convective turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel","https://data.ntsb.gov/Docket?ProjectID=94878"
"DCA17FA076","ACC","94839","2017-03-08T16:55:00Z","Ypsilanti","Michigan","United States","AAR1901","N786TW","true","Aviation","Report","2019-05-06T04:00:00Z","Minor","0","0","1","the jammed condition of the airplane's right elevator, which resulted from exposure to localized, dynamic wind while the airplane was parked and rendered the airplane unable to rotate during takeoff. Contributing to the accident were (1) the effect of a large structure on the gusting surface wind at the airplane's parked location, which led to turbulent gust loads on the right elevator sufficient to jam it, even though the horizontal surface wind speed was below the certification design limit and maintenance inspection criteria for the airplane, and (2) the lack of a means to enable the flight crew to detect a jammed elevator during preflight checks for the Boeing MD-83 airplane. Contributing to the survivability of the accident was the captain's timely and appropriate decision to reject the takeoff, the check airman's disciplined adherence to standard operating procedures after the captain called for the rejected takeoff, and the dimensionally compliant runway safety area where the overrun occurred.","Aircraft - Aircraft systems - Flight control system - Elevator control system - Damaged/degraded, Environmental issues - Conditions/weather/phenomena - Wind - High wind - Effect on equipment, Environmental issues - Physical environment - Object/animal/substance - Residence/building - Effect on equipment, Aircraft - Aircraft systems - Equipment/furnishings - Escape slide - Incorrect service/maintenance, Environmental issues - Operating environment - Meteorological services - (general) - Accuracy of related info","https://data.ntsb.gov/Docket?ProjectID=94839"
"DCA17WA121","INC","95198","2017-03-07T21:25:00Z","Sint Maarten",,"Netherlands Antilles",,"C-GWSV","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=95198"
"DCA17CA087","ACC","94940","2017-03-06T12:10:00Z","Los Angeles","California","United States",,"N369NB","false","Aviation","DirectorBrief","2020-06-08T04:00:00Z","Serious","0","1","0","malfunction of the parking brake electrical control valve that resulted in a sudden stop.","Aircraft - Aircraft systems - Landing gear system - Brake - Failure","https://data.ntsb.gov/Docket?ProjectID=94940"
"DCA17WA075","INC","94828","2017-03-05T04:00:00Z","Cancun",,"Mexico",,"F-GZNO","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=94828"
"GAA17CA167","ACC","94802","2017-02-26T12:00:00Z","Las Vegas","Nevada","United States",,"N864MH","false","Aviation","DirectorBrief","2017-06-07T04:00:00Z","None","0","0","0","The pilot's abrupt cyclic/pitch attitude control movement, which resulted in a Fenestron ground strike.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Incorrect use/operation, Personnel issues - Psychological - Attention/monitoring - Monitoring other aircraft - Pilot","https://data.ntsb.gov/Docket?ProjectID=94802"
"DCA17WA115","INC","95147","2017-02-20T19:38:00Z","Cancun",,"Mexico",,"N995AN","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=95147"
"DCA17WA221","INC","96239","2017-02-17T12:10:00Z","Riga",,"Latvia",,"VP-BVS","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96239"
"OPS17IA014","INC","94762","2017-02-15T22:00:00Z","San Francisco","California","United States",,"N214NN, N627VA","false","Aviation","DirectorBrief","2021-03-31T04:00:00Z",,"0","0","0","The local controller's issuance of a landing clearance for runway 28L to the ERJ170, and the subsequent issuance of line up and wait instructions to the A320 for runway 28L,  resulting in a runway incursion.","Personnel issues - Task performance - Communication (personnel) - Accuracy of communication - ATC personnel, Personnel issues - Action/decision - Info processing/decision - Expectation/assumption - ATC personnel, Personnel issues - Task performance - Communication (personnel) - Following instructions - Pilot, Personnel issues - Task performance - Use of equip/info - Use of automation - ATC personnel, Environmental issues - Conditions/weather/phenomena - (general) - (general) - Contributed to outcome","https://data.ntsb.gov/Docket?ProjectID=94762"
"DCA17CA064","ACC","94720","2017-02-15T13:42:00Z","Charlotte","North Carolina","United States",,"N709PS","false","Aviation","DirectorBrief","2020-07-08T04:00:00Z","None","0","0","0","collision with a deer during takeoff.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment","https://data.ntsb.gov/Docket?ProjectID=94720"
"CEN17LA121","ACC","94826","2017-02-14T13:45:00Z","Rattan","Oklahoma","United States",,"N1551C","false","Aviation","DirectorBrief","2020-08-10T04:00:00Z","None","0","0","0","The loss of electrical power due to the pilot’s inadvertent selection of the engine start switches and the subsequent fuel exhaustion to the left engine as the pilot attempted to locate visual meteorological conditions. Contributing to the accident were the pilot’s failure to ensure adequate fuel reserves on board for the flight in instrument meteorological conditions and the miscommunication between the pilot and medical crewmembers.","Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Aircraft - Aircraft systems - Electrical power system - Starter-generator - Incorrect use/operation, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid management, Personnel issues - Task performance - Communication (personnel) - (general) - Other, Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot","https://data.ntsb.gov/Docket?ProjectID=94826"
"DCA17CA071","ACC","94745","2017-02-13T13:15:00Z","Dulles","Virginia","United States",,"N838CA","false","Aviation","DirectorBrief","2018-03-09T05:00:00Z","Serious","0","1","0","an inadvertent encounter with clear air turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel","https://data.ntsb.gov/Docket?ProjectID=94745"
"CEN17WA107","ACC","94750","2017-02-11T22:04:00Z","Virgin Gorda",,"British Virgin Islands",,"N603AB","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=94750"
"DCA17CA072","ACC","94770","2017-02-11T21:50:00Z","Phoenix","Arizona","United States",,"N7822A","false","Aviation","DirectorBrief","2017-05-26T04:00:00Z","Serious","0","1","0","the catering agent's lack of situational awareness when exiting the airplane that resulted in a serious injury.","Personnel issues - Task performance - Planning/preparation - (general) - Ground crew","https://data.ntsb.gov/Docket?ProjectID=94770"
"DCA17WA070","INC","94744","2017-02-11T11:00:00Z","Jeddah",,"Saudi Arabia",,"YI-AQZ","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=94744"
"ERA17LA103","ACC","94692","2017-02-07T07:20:00Z","Beattyville","Kentucky","United States",,"N135LG","false","Aviation","DirectorBrief","2020-02-11T05:00:00Z","None","0","0","0","The pilot's failure to maintain helicopter control while landing, which resulted in a hard landing and subsequent roll over.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot","https://data.ntsb.gov/Docket?ProjectID=94692"
"CEN17FA100","ACC","94691","2017-02-06T21:09:00Z","Galveston","Texas","United States",,"N978RH","false","Aviation","DirectorBrief","2017-12-11T05:00:00Z","Fatal","1","0","0","The pilot's failure to recognize the flight had encountered instrument meteorological conditions at night, which resulted in an unrecognized descent and collision with water.","Personnel issues - Psychological - Perception/orientation/illusion - Perception - Pilot, Personnel issues - Action/decision - Action - Incorrect action performance - Pilot, Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Pilot, Personnel issues - Experience/knowledge - Knowledge - Knowledge of meteorologic cond - Pilot, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Drizzle/mist - Effect on operation","https://data.ntsb.gov/Docket?ProjectID=94691"
"CEN17IA094","INC","94674","2017-01-26T23:45:00Z","Sioux Falls","South Dakota","United States",,"N911MK","false","Aviation","DirectorBrief","2021-05-05T04:00:00Z","None","0","0","0","The gas generator rear bearing oil scavenge line blocked with coke, which resulted in a failed rear bearing due to an excess of oil lubrication. Contributing to the incident was the operator not completely performing the maintenance items and not utilizing an oil for higher temperatures.","Aircraft - Fluids/misc hardware - Fluids - Oil - Fluid condition, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Oil system - Damaged/degraded, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Oil system - Fatigue/wear/corrosion, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Oil system - Capability exceeded, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Oil system - Incorrect service/maintenance, Aircraft - Fluids/misc hardware - Fluids - Oil - Incorrect service/maintenance, Aircraft - Fluids/misc hardware - Fluids - Oil - Fluid type, Personnel issues - Task performance - Maintenance - Scheduled/routine maintenance - Maintenance personnel","https://data.ntsb.gov/Docket?ProjectID=94674"
"ENG17IA008","INC","94641","2017-01-23T20:30:00Z","Baltimore","Maryland","United States",,"N8986B","false","Aviation","DirectorBrief","2019-05-03T04:00:00Z","None","0","0","0","A Bombardier CRJ200 No. 2 engine failure due to the separation of a fan blade airfoil at a low cycle fatigue crack that originated at the forward fan blade pin hole attachment. The separated fan blade had previously undergone a hot form repair and both metallurgical analysis and repair records indicated that the lance/shot peen step required to restore sufficient residual stress levels to the blade material was not completed.","Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Compressor section - Failure","https://data.ntsb.gov/Docket?ProjectID=94641"
"ANC17TA015","ACC","94620","2017-01-16T17:20:00Z","Pilot Point","Alaska","United States",,"N4261T","false","Aviation","DirectorBrief","2019-11-06T05:00:00Z","Serious","0","2","0","The pilot's continued flight into known icing conditions, which resulted in structural icing and a forced landing on icy, snow-covered terrain.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Conducive to structural icing - Decision related to condition, Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Conducive to structural icing - Effect on operation, Environmental issues - Physical environment - Terrain - Snowy/icy terrain - Contributed to outcome","https://data.ntsb.gov/Docket?ProjectID=94620"
"DCA17WA094","ACC","95003","2017-01-07T10:40:00Z","Arabian Sea",,"Unknown",,"D-AMSC","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=95003"
"DCA17WA055","INC","94591","2017-01-06T05:00:00Z","Brisbane",,"Australia",,"VH-VUH","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=94591"
"DCA17WA056","INC","94592","2016-12-30T13:30:00Z","Paris",,"France",,"CN-ROJ","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=94592"
"DCA17WA086","INC","94938","2016-12-29T16:00:00Z","Bucharest",,"Romania",,"YR-BAR","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=94938"
"OPS17IA010","INC","94560","2016-12-16T03:25:00Z","Mt. Wilson","California","United States",,"B-16726","false","Aviation","DirectorBrief","2019-05-07T04:00:00Z","None","0","0","0","The incident was caused by the air traffic controller assigning the pilots a left turn instead of the required right turn after departure which placed the aircraft in an unsafe proximity with terrain and obstructions. Contributing to the incident was the air traffic controller's inadequate recovery technique during the development of the incident.","Personnel issues - Action/decision - Action - Incorrect action selection - ATC personnel, Personnel issues - Task performance - Communication (personnel) - Interpretation/understanding - ATC personnel, Personnel issues - Experience/knowledge - Training - Total instruct/training recvd - ATC personnel, Personnel issues - Action/decision - Action - Lack of action - ATC personnel, Personnel issues - Experience/knowledge - Experience/qualifications - (general) - ATC personnel","https://data.ntsb.gov/Docket?ProjectID=94560"
"GAA17CA101","ACC","94538","2016-12-15T13:00:00Z","Willow","Alaska","United States",,"N56681","false","Aviation","DirectorBrief","2017-06-07T04:00:00Z","None","0","0","0","The pilot’s failure to ensure that the runway was clear of any obstacles before departure, which resulted in the airplane impacting a snowdrift.","Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Snow/slush/ice covered surface - Effect on operation, Personnel issues - Task performance - Planning/preparation - (general) - Pilot, Personnel issues - Action/decision - Action - Lack of action - Pilot","https://data.ntsb.gov/Docket?ProjectID=94538"
"OPS17IA008","INC","94512","2016-12-14T19:43:00Z","San Francisco","California","United States",,"N986SW, UNK","false","Aviation","DirectorBrief","2021-03-31T04:00:00Z",,,,,"The captain’s inadvertent turn onto the incorrect taxiway and subsequent entry onto an active runway without a clearance, which resulted in the runway incursion.","Personnel issues - Action/decision - Info processing/decision - Expectation/assumption - Pilot","https://data.ntsb.gov/Docket?ProjectID=94512"
"DCA17CA042","ACC","94507","2016-12-13T20:47:00Z","Denver","Colorado","United States",,"N24202","false","Aviation","DirectorBrief","2017-02-23T05:00:00Z","Serious","0","1","0","An inadvertent encounter with mountain wave turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Terrain induced turbulence - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - Terrain induced turbulence - Awareness of condition","https://data.ntsb.gov/Docket?ProjectID=94507"
"ENG17IA005","INC","94460","2016-12-04T16:53:00Z","San Antonio","Texas","United States",,"N161SY","false","Aviation","DirectorBrief","2018-11-15T05:00:00Z","Minor","0","0","1","A failure of the nose landing gear down lock spring which precluded normal downlock operation of the nose landing gear.  The spring failure was due to the presence of too much retained austenite which led to the formation of progressive cracking and subsequent failure of the spring.","Aircraft - Aircraft systems - Landing gear system - Gear extension and retract sys - Failure","https://data.ntsb.gov/Docket?ProjectID=94460"
"DCA17WA219","INC","96177","2016-12-02T05:00:00Z","Nagpur",,"India",,"VT-JFP, VT-AIV","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96177"
"ENG17IA006","INC","94480","2016-11-29T10:50:00Z","Kansas","Illinois","United States",,"N367CA","false","Aviation","DirectorBrief","2018-03-07T05:00:00Z","None","0","0","0","The probable cause of the uncontained No. 1 (left) engine failure was a separated high pressure turbine 2nd stage blade that failed due to a fatigue crack that originated below the blade platform from an area of corrosion.","Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Turbine section - Failure","https://data.ntsb.gov/Docket?ProjectID=94480"
"CEN17LA043","ACC","94427","2016-11-23T19:59:00Z","Moorhead","Minnesota","United States",,"N80RT","false","Aviation","DirectorBrief","2017-09-06T04:00:00Z","Minor","0","0","3","The pilot's failure to attain a positive climb rate during an attempted missed approach in night instrument meteorological conditions that were at/near approach minimums, which resulted in controlled flight into terrain.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Climb rate - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - (general) - Effect on operation, Aircraft - Aircraft systems - Equipment/furnishings - Emergency equipment - Not used/operated, Personnel issues - Task performance - Communication (personnel) - Issuing instructions - Pilot","https://data.ntsb.gov/Docket?ProjectID=94427"
"DCA17CA096","ACC","95020","2016-11-21T00:23:00Z","Hopewell","Virginia","United States",,"N930AT","false","Aviation","DirectorBrief","2020-06-08T04:00:00Z","Serious","0","1","0","the flight attendant's inadvertent bump into a retractable galley tray.","Personnel issues - Miscellaneous - (general) - (general) - Cabin crew","https://data.ntsb.gov/Docket?ProjectID=95020"
"ANC17LA014","ACC","94524","2016-11-20T18:57:00Z","McGrath","Alaska","United States",,"N4352F","false","Aviation","DirectorBrief","2018-09-10T04:00:00Z","Serious","0","1","0","The failure of the nose landing gear to extend and lock due to the failure of the alternator and reduced battery power due to the cold ambient temperature, which prohibited the electrically-driven hydraulic pump from supplying adequate hydraulic pressure to extend the nose landing gear. The cause of the left main landing gear collapse could not be determined, as there were no postaccident anomalies or malfunctions found when the landing gear was actuated following replacement of the alternator and battery.","Aircraft - Aircraft systems - Hydraulic power system - (general) - Related operating info, Aircraft - Aircraft systems - Electrical power system - Alternator-generator drive sys - Failure, Aircraft - Aircraft systems - Electrical power system - Battery/charger - Damaged/degraded, Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Low temperature - Effect on equipment, Aircraft - Aircraft systems - Landing gear system - Main landing gear - Malfunction, Not determined - Not determined - (general) - (general) - Unknown/Not determined","https://data.ntsb.gov/Docket?ProjectID=94524"
"WPR17FA024","ACC","94399","2016-11-18T21:20:00Z","Elko","Nevada","United States",,"N779MF","false","Aviation","DirectorBrief","2018-09-04T04:00:00Z","Fatal","4","0","0","A loss of engine power to the left engine for reasons that could not be determined due to the extensive fire and impact damage to the airplane.","Aircraft - Aircraft power plant - Engine (turbine/turboprop) - (general) - Malfunction, Not determined - Not determined - (general) - (general) - Unknown/Not determined","https://data.ntsb.gov/Docket?ProjectID=94399"
"DCA17FA021","ACC","94308","2016-10-28T04:00:00Z","Chicago","Illinois","United States","AAR1801","N345AN","true","Aviation","Report","2018-02-06T05:00:00Z","Serious","0","1","20","The failure of the high-pressure turbine (HPT) stage 2 disk, which severed the main engine fuel feed line and breached the right main wing fuel tank, releasing fuel that resulted in a fire on the right side of the airplane during the takeoff roll. The HPT stage 2 disk failed because of low-cycle fatigue cracks that initiated from an internal subsurface manufacturing anomaly that was most likely not detectable during production inspections and subsequent in service inspections using the procedures in place. Contributing to the serious passenger injury was (1) the delay in shutting down the left engine and (2) a flight attendant's deviation from company procedures, which resulted in passengers evacuating from the left overwing exit while the left engine was still operating. Contributing to the delay in shutting down the left engine was (1) the lack of a separate checklist procedure for Boeing 767 airplanes that specifically addressed engine fires on the ground and (2) the lack of communication between the flight and cabin crews after the airplane came to a stop.","Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Turbine section - Failure, Aircraft - Aircraft systems - Fuel system - (general) - Damaged/degraded, Personnel issues - Task performance - Use of equip/info - Use of policy/procedure - Cabin crew, Personnel issues - Action/decision - Action - Delayed action - Flight crew, Personnel issues - Task performance - Communication (personnel) - Lack of communication - Flight crew, Personnel issues - Task performance - Communication (personnel) - Lack of communication - Cabin crew, Organizational issues - Development - Manufacture/production - Equipment manufacture - Manufacturer, Organizational issues - Development - Design - Task design - Manufacturer, Organizational issues - Management - Resources - Adequacy of documents/info - FAA/Regulator, Organizational issues - Support/oversight/monitoring - Training - Emergency proc training - FAA/Regulator","https://data.ntsb.gov/Docket?ProjectID=94308"
"DCA17IA020","INC","94307","2016-10-27T20:42:00Z","New York","New York","United States",,"N278EA","false","Aviation","BoardBrief","2017-09-18T04:00:00Z","None","0","0","0","The first officer's failure to attain the proper touchdown point and the flight crew's failure to call for a go-around, which resulted in the airplane landing more than halfway down the runway. Contributing to the incident were, the first officer's initiation of the landing flare at a relatively high altitude and his delay in reducing the throttles to idle, the captain's delay in manually deploying the speed brakes after touchdown, the captain's lack of command authority, and a lack of robust training provided by the operator to support the flight crew's decision-making concerning when to call for a go-around.","Personnel issues - Task performance - Use of equip/info - Use of policy/procedure - Copilot, Personnel issues - Task performance - Use of equip/info - Use of policy/procedure - Flight crew, Personnel issues - Action/decision - Action - Lack of action - Flight crew, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not specified, Personnel issues - Action/decision - Action - Delayed action - Copilot, Personnel issues - Action/decision - Action - Delayed action - Pilot, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Organizational issues - Support/oversight/monitoring - Training - Recurrent training - Operator","https://data.ntsb.gov/Docket?ProjectID=94307"
"ENG17IA003","INC","94306","2016-10-26T16:50:00Z","Seattle","Washington","United States",,"N855NW","false","Aviation","DirectorBrief","2019-09-30T04:00:00Z","None","0","0","0","A No. 1 engine fire caused by a fuel manifold supply line high cycle fatigue crack which led to a fuel leak that subsequently ignited on hot engine case surfaces. The fatigue crack originated and progressed due to elevated fuel manifold assembly vibration levels. Engine vibration testing identified a combustor tone that excites a natural (resonant) frequency of the fuel manifolds at specific engine speeds on Pratt & Whitney PW4000-94 and -100 inch fan series engines that feature a TALON II combustor.","Aircraft - Aircraft power plant - Engine fuel and control - Fuel distribution - Failure","https://data.ntsb.gov/Docket?ProjectID=94306"
"GAA17CA074","ACC","94411","2016-10-25T10:00:00Z","Lancaster","Pennsylvania","United States",,"N600RV","false","Aviation","DirectorBrief","2017-02-06T05:00:00Z","None","0","0","0","A collision with deer on the runway during the takeoff roll.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on operation, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Ability to respond/compensate","https://data.ntsb.gov/Docket?ProjectID=94411"
"OPS17IA003","INC","94287","2016-10-21T09:22:00Z","Westfield","Massachusetts","United States",,"N425NV","false","Aviation","DirectorBrief","2021-02-02T05:00:00Z",,,,,"The  air traffic controller issuing the aircraft a clearance to land while there was a vehicle authorized to be on the same runway. Contributing to the incident was the air traffic controller's decision to not simulcast the local control and ground control frequencies, and, the reduced visibility at the airport as a result of the weather.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - ATC personnel, Personnel issues - Task performance - Use of equip/info - Use of policy/procedure - ATC personnel, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Low visibility - Effect on personnel","https://data.ntsb.gov/Docket?ProjectID=94287"
"DCA17WA224","INC","96568","2016-10-19T04:00:00Z","Keflavik",,"Iceland",,"TF-ISR","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96568"
"ERA17WA009","ACC","94173","2016-10-10T15:27:00Z","Santa Cruz, Cajamarca",,"Peru",,"OB-1936-P","false","Aviation","None",,"Fatal","3","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=94173"
"DCA17WA012","INC","94292","2016-10-10T04:00:00Z","Surabaya",,"Indonesia",,"PK-CKF","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=94292"
"DCA17WA006","INC","94181","2016-10-09T04:00:00Z","Melbourne",,"Australia",,"9V-SYG","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=94181"
"DCA17CA005","ACC","94180","2016-10-05T18:25:00Z","Denver","Colorado","United States",,"N8324A","false","Aviation","DirectorBrief","2020-04-06T04:00:00Z","Serious","0","1","0","the flight attendant losing her balance as she was removing her carry-on baggage resulted in her falling against an arm rest causing the serious injury.","Personnel issues - Task performance - (general) - (general) - Cabin crew","https://data.ntsb.gov/Docket?ProjectID=94180"
"WPR17LA005","ACC","94196","2016-10-04T10:10:00Z","Waimea","Hawaii","United States",,"N311VT","false","Aviation","DirectorBrief","2018-01-25T05:00:00Z","None","0","0","0","Impact of the lift cable after it exited the helicopter during liftoff with the main rotor (MR) blades, which resulted in the separation of an MR blade tip and the vertical vibration of the helicopter.","Environmental issues - Physical environment - Object/animal/substance - (general) - Effect on operation","https://data.ntsb.gov/Docket?ProjectID=94196"
